revista,lda_topic_number,lda_topic_name,lda_keywords,lex_matched_voyant_idx,lex_matched_voyant_keywords,lex_match_lex_score,lex_match_emb_score,emb_matched_voyant_idx,emb_matched_voyant_keywords,emb_match_lex_score,emb_match_emb_score
Fémina,1,Feminismo y Sufragio,"mujer, derechos, sufragio, voto, leyes, igualdad, progreso, ciudadana",0,"mujer, años, alma, espiritual, historia, tratar, intereses, reir, merma, conciencia",0.1118,0.8376,4,"prestigiosas, derechos, señoras, compra, levadura, sr, subscrinción, idea, cartas, recibiendo",0.1118,0.8924
Fémina,2,Poesía y Literatura,"poesía, versos, rimas, alma, corazón, musas, ideal, estrofas",0,"mujer, años, alma, espiritual, historia, tratar, intereses, reir, merma, conciencia",0.1118,0.9232,4,"fémina, hombres, intelectual, palabra, república, melancolía, almas, elocuente, aspiraciones, glorioso",0.0,0.9275
Fémina,3,Política y Estatus de PR,"independencia, estatus, gobierno, patria, nación, libertad, congreso, soberanía",1,"patria, revista, pueblo, petronila, noche, sociedad, compleja, fundar, distinción, 1922",0.1118,0.796,9,"dominicana, libertad, tierra, mundo, fuerzas, querido, inteligente, culto, levanta, nacional",0.1118,0.8491
Fémina,4,Educación e Instrucción,"educación, escuela, hogar, hijos, madres, instrucción, enseñanza, cultura",6,"hogar, cultura, noble, edificio, atraviesa, evolución, página, santo, hagan, sana",0.2236,0.8174,8,"aparece, dulce, familia, desarrollo, aliento, sagrada, insigne, campo, pensamiento, cívica",0.0,0.8475
Filipinas,5,Ciencia y Astronomía,"astronomía, planetas, ciencia, telescopio, estrellas, universo, fenómenos, cielo",1,"mujer, ciencia, vida, mulas, pepe, palabra, tumba, querida, niño, mes",0.1118,0.6786,0,"niña, filipinas, colinas, luz, padecimientos, camino, despertado, sueños, veinte, doctorado",0.0,0.7062
Fémina,6,Acción Social y Beneficencia,"beneficencia, niños, pobres, asilos, ayuda, mendigos, sociedad, huérfanos",1,"patria, revista, pueblo, petronila, noche, sociedad, compleja, fundar, distinción, 1922",0.1118,0.8622,8,"aparece, dulce, familia, desarrollo, aliento, sagrada, insigne, campo, pensamiento, cívica",0.0,0.9003
Filipinas,7,Moda y Estilo de Vida,"modas, trajes, telas, seda, elegancia, sombreros, estilos, bazar",7,"tinding, corazón, millas, especie, grupos, oculta, marfil, fuentes, sombreros, ciegos",0.1118,0.8302,1,"patria, revista, pueblo, petronila, noche, sociedad, compleja, fundar, distinción, 1922",0.0,0.8375
Heraldo de la Mujer,8,Comercio y Publicidad,"anuncios, bodega, café, farmacia, harina, venta, suscripción, precios",2,"femenina, duprey, redacción, agan, unidos, guerra, nombre, harina, preparación, madre",0.1118,0.7751,4,"prestigiosas, derechos, señoras, compra, levadura, sr, subscrinción, idea, cartas, recibiendo",0.0,0.8573
Fémina,1,Patriotismo y Soberanía,"patria, libertad, soberanía, restauración, bandera, héroes, república, independencia",1,"patria, revista, pueblo, petronila, noche, sociedad, compleja, fundar, distinción, 1922",0.1118,0.7918,9,"dominicana, libertad, tierra, mundo, fuerzas, querido, inteligente, culto, levanta, nacional",0.1118,0.8546
Fémina,2,Feminismo y Identidad,"feminismo, mujer, derechos, emancipación, entidad, igualdad, dignificación, sexo",0,"mujer, años, alma, espiritual, historia, tratar, intereses, reir, merma, conciencia",0.1118,0.8404,1,"patria, revista, pueblo, petronila, noche, sociedad, compleja, fundar, distinción, 1922",0.0,0.8669
Fémina,3,Educación y Formación,"hogar, madres, educación, hijos, familia, formación, moral, enseñanza",6,"hogar, cultura, noble, edificio, atraviesa, evolución, página, santo, hagan, sana",0.1118,0.8139,8,"aparece, dulce, familia, desarrollo, aliento, sagrada, insigne, campo, pensamiento, cívica",0.1118,0.8701
Fémina,4,Poesía y Sentimiento,"versos, rimas, amor, alma, ensueño, corazón, suspiros, poesía",0,"mujer, años, alma, espiritual, historia, tratar, intereses, reir, merma, conciencia",0.1118,0.9155,4,"fémina, hombres, intelectual, palabra, república, melancolía, almas, elocuente, aspiraciones, glorioso",0.0,0.9195
Fémina,5,Vida Social y Eventos,"social, bienvenida, boda, cumpleaños, salón, fiesta, elegante, distinguidos",7,"social, esperanza, horizonte, sentimientos, único, unidad, vasto, hermanos, pensamientos, galante",0.1118,0.893,1,"patria, revista, pueblo, petronila, noche, sociedad, compleja, fundar, distinción, 1922",0.0,0.9125
Fémina,6,Religión y Devoción,"religión, altagracia, coronación, fe, dios, iglesia, rezos, santo",6,"hogar, cultura, noble, edificio, atraviesa, evolución, página, santo, hagan, sana",0.1118,0.8839,6,"hogar, cultura, noble, edificio, atraviesa, evolución, página, santo, hagan, sana",0.1118,0.8839
Fémina,7,Literatura y Producción Intelectual,"literatura, letras, pluma, prosa, páginas, escritor, libros, cultura",6,"hogar, cultura, noble, edificio, atraviesa, evolución, página, santo, hagan, sana",0.1118,0.8717,5,"pueblos, acción, podido, imperialismo, tribuna, alta, líneas, lectura, consagración, morales",0.0,0.8965
Fémina,8,Salud e Higiene,"higiene, medicina, salud, botica, recetas, limpieza, enfermos, médicos",0,"mujer, años, alma, espiritual, historia, tratar, intereses, reir, merma, conciencia",0.0,0.7367,2,"hombre, educación, supo, despertar, mujeres, vida, conocen, guanajuato, ve, cascabel",0.0,0.7585
Filipinas,1,Educación e Instrucción,"educación, enseñanza, escuela, instrucción, niñas, maestros, aprendizaje, saber",2,"hombre, educación, supo, despertar, mujeres, vida, conocen, guanajuato, ve, cascabel",0.1118,0.782,3,"impulsos, hábito, enseñanza, termina, sitio, poderoso, niños, principios, fabricados, dignos",0.1118,0.8196
Fémina,2,Rol de la Mujer y Familia,"mujer, hogar, familia, hijos, influencia, virtudes, madre, compañera",0,"mujer, años, alma, espiritual, historia, tratar, intereses, reir, merma, conciencia",0.1118,0.8498,8,"aparece, dulce, familia, desarrollo, aliento, sagrada, insigne, campo, pensamiento, cívica",0.1118,0.901
Fémina,3,Economía Doméstica y Labores,"cocina, recetas, doméstico, bordados, costura, labores, alimentos, limpieza",0,"mujer, años, alma, espiritual, historia, tratar, intereses, reir, merma, conciencia",0.0,0.7387,5,"ideas, queda, produce, mañana, amor, viajero, sér, mordido, informaciones, apoyos",0.0,0.8313
