revista,lda_topic_number,lda_topic_name,lda_keywords,lex_matched_voyant_idx,lex_matched_voyant_keywords,lex_match_lex_score,lex_match_emb_score,emb_matched_voyant_idx,emb_matched_voyant_keywords,emb_match_lex_score,emb_match_emb_score
Fémina,1,Feminismo y Sufragio,"derechos, sufragio, mujer, feminista, voto, emancipación, justicia, reivindicación",0,"mujer, años, alma, espiritual, historia, tratar, intereses, reir, merma, conciencia",0.1118,0.8379,4,"prestigiosas, derechos, señoras, compra, levadura, sr, subscrinción, idea, cartas, recibiendo",0.1118,0.8546
Fémina,2,Estatus Político y Patriotismo,"patria, independencia, libertad, pueblo, nación, soberanía, gobierno, puertorriqueña",1,"patria, revista, pueblo, petronila, noche, sociedad, compleja, fundar, distinción, 1922",0.2236,0.7884,9,"dominicana, libertad, tierra, mundo, fuerzas, querido, inteligente, culto, levanta, nacional",0.1118,0.862
Fémina,3,Literatura y Poesía,"poesía, versos, rimas, alma, leyenda, corazón, musa, prosa",0,"mujer, años, alma, espiritual, historia, tratar, intereses, reir, merma, conciencia",0.1118,0.921,0,"mujer, años, alma, espiritual, historia, tratar, intereses, reir, merma, conciencia",0.1118,0.921
Fémina,4,Educación y Cultura,"instrucción, escuela, maestro, universidad, estudios, conocimientos, cultura, inteligencia",6,"hogar, cultura, noble, edificio, atraviesa, evolución, página, santo, hagan, sana",0.1118,0.8191,3,"impulsos, hábito, enseñanza, termina, sitio, poderoso, niños, principios, fabricados, dignos",0.0,0.866
Heraldo de la Mujer,5,Hogar y Modas,"modas, trajes, telas, receta, harina, bordados, blanco, seda",2,"femenina, duprey, redacción, agan, unidos, guerra, nombre, harina, preparación, madre",0.1118,0.9061,1,"suelos, roqué, lecho, manos, muere, politico, casa, ener, er, quesen",0.0,0.911
Filipinas,6,Salud y Bienestar,"niños, pobres, tuberculosis, caridad, beneficencia, salud, enfermos, protección",3,"impulsos, hábito, enseñanza, termina, sitio, poderoso, niños, principios, fabricados, dignos",0.1118,0.7563,8,"aparece, dulce, familia, desarrollo, aliento, sagrada, insigne, campo, pensamiento, cívica",0.0,0.7939
Fémina,7,Vida Social,"maridaje, social, viajeros, felicitación, boda, fiesta, regreso, distinguida",7,"social, esperanza, horizonte, sentimientos, único, unidad, vasto, hermanos, pensamientos, galante",0.1118,0.8949,1,"patria, revista, pueblo, petronila, noche, sociedad, compleja, fundar, distinción, 1922",0.0,0.9126
Heraldo de la Mujer,8,Crónica Internacional,"guerra, mundo, naciones, prensa, tratado, alemania, europa, estados",7,"mujer, representante, puras, señora, nombrar, amor, enen, europa, mar, mundo",0.2236,0.8872,7,"mujer, representante, puras, señora, nombrar, amor, enen, europa, mar, mundo",0.2236,0.8872
Filipinas,1,Educación y Moral,"educación, instrucción, virtud, maestra, enseñanza, moralidad, estudio, carácter",2,"hombre, educación, supo, despertar, mujeres, vida, conocen, guanajuato, ve, cascabel",0.1118,0.8124,3,"impulsos, hábito, enseñanza, termina, sitio, poderoso, niños, principios, fabricados, dignos",0.1118,0.8669
Fémina,2,Higiene y Salud,"higiene, salud, medicina, enfermedades, cuidado, limpieza, agua, cuerpo",0,"mujer, años, alma, espiritual, historia, tratar, intereses, reir, merma, conciencia",0.0,0.755,1,"mujer, ciencia, vida, mulas, pepe, palabra, tumba, querida, niño, mes",0.0,0.7786
