revista,lda_topic_number,lda_topic_name,lda_keywords,lex_matched_voyant_idx,lex_matched_voyant_keywords,lex_match_lex_score,lex_match_emb_score,emb_matched_voyant_idx,emb_matched_voyant_keywords,emb_match_lex_score,emb_match_emb_score
Heraldo de la Mujer,1,Derechos Políticos y Sufragio,"voto, derechos, feminista, sufragio, ley, legislatura, ciudadana, igualdad",4,"prestigiosas, derechos, señoras, compra, levadura, sr, subscrinción, idea, cartas, recibiendo",0.1118,0.8486,4,"prestigiosas, derechos, señoras, compra, levadura, sr, subscrinción, idea, cartas, recibiendo",0.1118,0.8486
Fémina,2,Status Político de Puerto Rico,"independencia, estatus, nación, gobierno, patria, unión, pueblo, política",1,"patria, revista, pueblo, petronila, noche, sociedad, compleja, fundar, distinción, 1922",0.2236,0.8633,9,"dominicana, libertad, tierra, mundo, fuerzas, querido, inteligente, culto, levanta, nacional",0.0,0.8904
Fémina,3,Educación e Instrucción,"instrucción, escuela, maestros, intelectual, cultura, estudio, conocimientos, ciencia",4,"fémina, hombres, intelectual, palabra, república, melancolía, almas, elocuente, aspiraciones, glorioso",0.1118,0.8159,3,"impulsos, hábito, enseñanza, termina, sitio, poderoso, niños, principios, fabricados, dignos",0.0,0.8747
Fémina,4,Literatura y Crítica,"poesía, versos, literatura, novela, prosista, autor, alma, ritmo",0,"mujer, años, alma, espiritual, historia, tratar, intereses, reir, merma, conciencia",0.1118,0.8701,4,"fémina, hombres, intelectual, palabra, república, melancolía, almas, elocuente, aspiraciones, glorioso",0.0,0.8978
Fémina,5,Ciencia y Astronomía,"astronomía, planetas, estrellas, temblores, ciencia, tierra, atracción, universo",9,"dominicana, libertad, tierra, mundo, fuerzas, querido, inteligente, culto, levanta, nacional",0.1118,0.743,8,"página, naturaleza, fuerza, antigua, hallar, conservación, naturalmente, méxico, altura, espiritual",0.0,0.7958
Fémina,6,Acción Social y Caridad,"beneficencia, niños, pobres, sociedad, huerfanos, caridad, asilo, protección",1,"patria, revista, pueblo, petronila, noche, sociedad, compleja, fundar, distinción, 1922",0.1118,0.8559,8,"aparece, dulce, familia, desarrollo, aliento, sagrada, insigne, campo, pensamiento, cívica",0.0,0.8813
Fémina,7,Modas y Hogar,"modas, trajes, telas, hogar, cocina, receta, comercio, anuncios",6,"hogar, cultura, noble, edificio, atraviesa, evolución, página, santo, hagan, sana",0.1118,0.8563,5,"ideas, queda, produce, mañana, amor, viajero, sér, mordido, informaciones, apoyos",0.0,0.8816
Fémina,8,Crónica Social,"bodas, fallecimiento, regreso, social, visita, felicitación, familia, huesped",7,"social, esperanza, horizonte, sentimientos, único, unidad, vasto, hermanos, pensamientos, galante",0.1118,0.8979,8,"aparece, dulce, familia, desarrollo, aliento, sagrada, insigne, campo, pensamiento, cívica",0.1118,0.9153
Filipinas,1,Educación y Moralidad,"educación, enseñanza, niños, escuela, maestra, instrucción, estudio, moral",3,"impulsos, hábito, enseñanza, termina, sitio, poderoso, niños, principios, fabricados, dignos",0.2236,0.8655,3,"impulsos, hábito, enseñanza, termina, sitio, poderoso, niños, principios, fabricados, dignos",0.2236,0.8655
Fémina,2,Economía Doméstica,"hogar, familia, casa, cocina, limpieza, habilidades, economía, hábito",6,"hogar, cultura, noble, edificio, atraviesa, evolución, página, santo, hagan, sana",0.1118,0.8322,3,"impulsos, hábito, enseñanza, termina, sitio, poderoso, niños, principios, fabricados, dignos",0.1118,0.8538
