revista,lda_topic_number,lda_topic_name,lda_keywords,lex_matched_voyant_idx,lex_matched_voyant_keywords,lex_match_lex_score,lex_match_emb_score,emb_matched_voyant_idx,emb_matched_voyant_keywords,emb_match_lex_score,emb_match_emb_score
Fémina,1,Feminismo y Sufragismo,"feminista, sufragio, voto, derecho, mujer, igualdad, ciudadana, liga",0,"mujer, años, alma, espiritual, historia, tratar, intereses, reir, merma, conciencia",0.1118,0.8517,1,"patria, revista, pueblo, petronila, noche, sociedad, compleja, fundar, distinción, 1922",0.0,0.8846
Fémina,2,Estatus Político y Nacionalismo,"independencia, patria, libertad, soberanía, gobierno, congreso, pueblo, bill jones",1,"patria, revista, pueblo, petronila, noche, sociedad, compleja, fundar, distinción, 1922",0.2236,0.8081,9,"dominicana, libertad, tierra, mundo, fuerzas, querido, inteligente, culto, levanta, nacional",0.1118,0.8461
Fémina,3,Literatura y Poesía,"poesía, verso, teatro, novela, música, estrofa, belleza, chopin",0,"mujer, años, alma, espiritual, historia, tratar, intereses, reir, merma, conciencia",0.0,0.8183,4,"fémina, hombres, intelectual, palabra, república, melancolía, almas, elocuente, aspiraciones, glorioso",0.0,0.8569
Fémina,4,Educación y Cultura,"escuela, maestro, enseñanza, estudio, universidad, pedagogía, cultura, discípulo",6,"hogar, cultura, noble, edificio, atraviesa, evolución, página, santo, hagan, sana",0.1118,0.8199,3,"impulsos, hábito, enseñanza, termina, sitio, poderoso, niños, principios, fabricados, dignos",0.1118,0.8352
Fémina,5,Vida Social y Obituarios,"boda, fallecimiento, familia, saludo, viaje, pésame, social, regreso",7,"social, esperanza, horizonte, sentimientos, único, unidad, vasto, hermanos, pensamientos, galante",0.1118,0.9196,8,"aparece, dulce, familia, desarrollo, aliento, sagrada, insigne, campo, pensamiento, cívica",0.1118,0.9348
Fémina,6,Salud y Sanidad,"tuberculosis, enfermedad, salud, sanidad, higiene, aire, sol, médico",0,"mujer, años, alma, espiritual, historia, tratar, intereses, reir, merma, conciencia",0.0,0.7612,1,"mujer, ciencia, vida, mulas, pepe, palabra, tumba, querida, niño, mes",0.0,0.7618
Fémina,7,Modas y Comercio,"trajes, seda, encajes, falda, blusa, bordado, calzado, tienda",0,"mujer, años, alma, espiritual, historia, tratar, intereses, reir, merma, conciencia",0.0,0.8509,1,"suelos, roqué, lecho, manos, muere, politico, casa, ener, er, quesen",0.0,0.9194
Fémina,8,Ciencias y Astronomía,"astronomía, estrellas, telescopio, planeta, ciencia, atmósfera, tierra, observación",9,"dominicana, libertad, tierra, mundo, fuerzas, querido, inteligente, culto, levanta, nacional",0.1118,0.6825,8,"página, naturaleza, fuerza, antigua, hallar, conservación, naturalmente, méxico, altura, espiritual",0.0,0.7435
Filipinas,1,Educación y Formación Moral,"educación, enseñanza, virtud, instrucción, niña, madre, carácter, moral",0,"niña, filipinas, colinas, luz, padecimientos, camino, despertado, sueños, veinte, doctorado",0.1118,0.7909,3,"impulsos, hábito, enseñanza, termina, sitio, poderoso, niños, principios, fabricados, dignos",0.1118,0.8684
Filipinas,2,Higiene y Cuidado Infantil,"salud, medicina, niño, higiene, microbio, dentición, enfermedad, nestle",1,"mujer, ciencia, vida, mulas, pepe, palabra, tumba, querida, niño, mes",0.1118,0.7494,1,"mujer, ciencia, vida, mulas, pepe, palabra, tumba, querida, niño, mes",0.1118,0.7494
Fémina,3,Economía Doméstica y Labores,"cocina, receta, costura, hogar, limpieza, alimento, bordado, casa",6,"hogar, cultura, noble, edificio, atraviesa, evolución, página, santo, hagan, sana",0.1118,0.8264,5,"ideas, queda, produce, mañana, amor, viajero, sér, mordido, informaciones, apoyos",0.0,0.837
Fémina,4,Literatura y Narrativa,"historia, cuento, leyenda, página, alma, corazón, dolor, verso",0,"mujer, años, alma, espiritual, historia, tratar, intereses, reir, merma, conciencia",0.2236,0.916,0,"mujer, años, alma, espiritual, historia, tratar, intereses, reir, merma, conciencia",0.2236,0.916
Fémina,5,Crónica Local y Noticias,"crónica, manila, noticias, gobernador, correo, caballería, pueblo, semana",1,"patria, revista, pueblo, petronila, noche, sociedad, compleja, fundar, distinción, 1922",0.1118,0.9091,1,"patria, revista, pueblo, petronila, noche, sociedad, compleja, fundar, distinción, 1922",0.1118,0.9091
Fémina,6,Feminismo y Progreso Social,"espíritu, moderno, libertad, hombre, progreso, personalidad, compañera, civilización",2,"humilde, obra, presentaros, doliente, proposito, condición, patriotas, beso, hombre, corazón",0.1118,0.8904,4,"fémina, hombres, intelectual, palabra, república, melancolía, almas, elocuente, aspiraciones, glorioso",0.0,0.9266
Fémina,7,Biografías de Mujeres,"hermosa, retrato, biografía, reina, dama, esposa, japonesa, filipina",0,"mujer, años, alma, espiritual, historia, tratar, intereses, reir, merma, conciencia",0.0,0.8628,7,"mujer, representante, puras, señora, nombrar, amor, enen, europa, mar, mundo",0.0,0.9069
Filipinas,8,Publicidad Comercial,"bizcochos, bazar, máquina, platería, calzado, camas, botones, imprenta",4,"continuación, bizcochos, humanidad, barranco, hubiese, hará, discernimiento, incompleta, duda, casa",0.1118,0.8148,7,"tinding, corazón, millas, especie, grupos, oculta, marfil, fuentes, sombreros, ciegos",0.0,0.8555
Fémina,1,Patriotismo y Soberanía Nacional,"patria, libertad, independencia, restauración, soberanía, heróica, bandera, derecho",1,"patria, revista, pueblo, petronila, noche, sociedad, compleja, fundar, distinción, 1922",0.1118,0.8254,9,"dominicana, libertad, tierra, mundo, fuerzas, querido, inteligente, culto, levanta, nacional",0.1118,0.8807
Fémina,2,Producción Literaria y Poesía,"verso, rima, estrofa, musa, prosa, libro, inspiración, bardo",0,"mujer, años, alma, espiritual, historia, tratar, intereses, reir, merma, conciencia",0.0,0.9092,4,"fémina, hombres, intelectual, palabra, república, melancolía, almas, elocuente, aspiraciones, glorioso",0.0,0.9203
Fémina,3,Feminismo e Idealismo Femenino,"feminismo, mujer, liga, acción, igualdad, progreso, ideal, emancipación",0,"mujer, años, alma, espiritual, historia, tratar, intereses, reir, merma, conciencia",0.1118,0.8585,5,"pueblos, acción, podido, imperialismo, tribuna, alta, líneas, lectura, consagración, morales",0.1118,0.8792
Fémina,4,Religión y Devoción,"virgen, altar, fe, coronación, místico, dios, altagracia, oración",0,"mujer, años, alma, espiritual, historia, tratar, intereses, reir, merma, conciencia",0.0,0.8499,0,"mujer, años, alma, espiritual, historia, tratar, intereses, reir, merma, conciencia",0.0,0.8499
Fémina,5,Crónica Social y Eventos,"boda, onomástico, saludo, bienvenida, nacimiento, familia, banquete, hogar",6,"hogar, cultura, noble, edificio, atraviesa, evolución, página, santo, hagan, sana",0.1118,0.8911,8,"aparece, dulce, familia, desarrollo, aliento, sagrada, insigne, campo, pensamiento, cívica",0.1118,0.9145
Fémina,6,Pedagogía y Magisterio,"maestra, normal, estudio, escuela, civismo, inteligencia, enseñanza, cultura",6,"hogar, cultura, noble, edificio, atraviesa, evolución, página, santo, hagan, sana",0.1118,0.8509,8,"aparece, dulce, familia, desarrollo, aliento, sagrada, insigne, campo, pensamiento, cívica",0.0,0.8913
Fémina,7,Biografías y Necrologías,"prócer, muerte, talento, gloria, tumba, recuerdo, busto, historia",0,"mujer, años, alma, espiritual, historia, tratar, intereses, reir, merma, conciencia",0.1118,0.9226,0,"mujer, años, alma, espiritual, historia, tratar, intereses, reir, merma, conciencia",0.1118,0.9226
Fémina,8,Amenidades y Charadas,"charada, solución, logogrifo, enigma, premio, lectura, verso, suerte",5,"pueblos, acción, podido, imperialismo, tribuna, alta, líneas, lectura, consagración, morales",0.1118,0.9099,4,"continuación, bizcochos, humanidad, barranco, hubiese, hará, discernimiento, incompleta, duda, casa",0.0,0.9279
