revista,lda_topic_number,lda_topic_name,lda_keywords,lex_matched_voyant_idx,lex_matched_voyant_keywords,lex_match_lex_score,lex_match_emb_score,emb_matched_voyant_idx,emb_matched_voyant_keywords,emb_match_lex_score,emb_match_emb_score
Filipinas,1,Educación y enseñanza de la mujer,"educación, enseñanza, niñas, instrucción, razón, moralidad, madre, conocimientos",0,"mujer, hombre, casa, educación, vida, hogar, página, mundo, manos, madre, hijos, hombres, sociedad, familia, madres, niño, influencia, belleza, niños, amor",0.1581,0.8818,0,"mujer, hombre, casa, educación, vida, hogar, página, mundo, manos, madre, hijos, hombres, sociedad, familia, madres, niño, influencia, belleza, niños, amor",0.1581,0.8818
Filipinas,2,Maternidad e higiene infantil,"niños, hijos, robustos, salud, alimento, harina, lacteada, nestle",3,"harina, nestle, agua, lacteada, página, filipinas, vida, abanicos, niños, conocimientos, higiene, alimento, práctica, artes, ilustrado, oriente, leche, caseras, medicinas, bella",0.3953,0.9253,3,"harina, nestle, agua, lacteada, página, filipinas, vida, abanicos, niños, conocimientos, higiene, alimento, práctica, artes, ilustrado, oriente, leche, caseras, medicinas, bella",0.3953,0.9253
Filipinas,3,El hogar y la familia,"casa, hogar, mujer, sabia, familia, conducta, costumbres, felicidad",0,"mujer, hombre, casa, educación, vida, hogar, página, mundo, manos, madre, hijos, hombres, sociedad, familia, madres, niño, influencia, belleza, niños, amor",0.3162,0.9439,0,"mujer, hombre, casa, educación, vida, hogar, página, mundo, manos, madre, hijos, hombres, sociedad, familia, madres, niño, influencia, belleza, niños, amor",0.3162,0.9439
Fémina,4,Feminismo e intelectualidad moderna,"espíritu, moderno, intelectual, progresivos, ciencia, arte, masculinización, civilizada",1,"muerte, muertos, templo, hombres, razón, espíritu, americanos, escudo, ricos, árbol, forma, persona, suerte, europeos, armas, patentizados, fuerte, oculta, fuerza, pueblos",0.0791,0.8962,1,"fuerza, mujer, vida, palabra, camino, ciencia, mujeres, inteligencia, página, razón, quiero, naturaleza, sér, ideal, antigua, costumbres, entusiasmo, sentimiento, graciosa, razon",0.0791,0.913
Fémina,5,Narrativa y literatura,"tumba, melancolía, amor, vida, sepulcro, historia, poética, leyendas",2,"pueblo, vida, patria, gloria, libertad, madre, historia, frente, camino, dios, memoria, dolor, nombre, corona, sangre, año, mundo, campo, fé, manos",0.1581,0.9354,1,"vida, naturaleza, amor, hombre, alma, cielo, tierra, mos, dores, estudio, hermosa, poeta, poetas, suelo, obras, luz, mente, dolor, poesía, pre",0.1581,0.9483
Fémina,6,Dignidad del trabajo,"trabajo, dignifica, pobre, miseria, económica, jornal, honrada, perseverancia",0,"noche, casa, oro, pauna, velas, tannas, manos, puerta, guerra, paso, cara, cabeza, viejo, hombre, voz, campo, orilla, medalla, cosa, mano",0.0,0.8345,5,"mujer, años, ve, hombre, débiles, ricos, gastado, defecto, personas, enfermedad, mr, desespereis, pueblo, mundo, talento, moral, guanajuato, ciudad, méxico, vida",0.0,0.8997
Filipinas,7,Noticias y crónica social,"manila, miércoles, septiembre, administración, provincias, fallecimiento, nombramiento, suscriptores",8,"manila, mes, filipinas, provincias, años, poblete, pesos, luz, oro, subscripción, precios, gesmundo, tel, pago, trimestre, jóvenes, escuelas, mujeres, febrero, número",0.1581,0.8959,8,"mujer, madrid, heraldo, ayuntamiento, periódico, san, juan, página, casa, personas, mundo, duprey, tomo, trimestre, premiada, enviado, número, at, prado, pago",0.0,0.8972
Filipinas,8,Conocimientos útiles y hogar,"limpieza, manchas, cocina, hierro, seda, bordado, recetas, higiene",3,"harina, nestle, agua, lacteada, página, filipinas, vida, abanicos, niños, conocimientos, higiene, alimento, práctica, artes, ilustrado, oriente, leche, caseras, medicinas, bella",0.0791,0.8947,3,"harina, nestle, agua, lacteada, página, filipinas, vida, abanicos, niños, conocimientos, higiene, alimento, práctica, artes, ilustrado, oriente, leche, caseras, medicinas, bella",0.0791,0.8947
Fémina,1,Patriotismo y soberanía nacional,"patria, soberanía, libertad, imperialismo, nacional, independencia, derecho, cívica",2,"pueblo, vida, patria, gloria, libertad, madre, historia, frente, camino, dios, memoria, dolor, nombre, corona, sangre, año, mundo, campo, fé, manos",0.1581,0.7967,4,"mujeres, república, liga, américa, internacional, colón, hispano, luz, mundo, país, york, servicio, españa, puerto, new, carga, años, rico, punto, literarios",0.0,0.8293
Fémina,2,Feminismo y derechos de la mujer,"feminismo, voto, sufragio, igualdad, emancipación, consciente, ciudadana, capacidad",0,"noche, casa, oro, pauna, velas, tannas, manos, puerta, guerra, paso, cara, cabeza, viejo, hombre, voz, campo, orilla, medalla, cosa, mano",0.0,0.7974,5,"mujer, hombre, vida, hogar, patria, mujeres, hombres, sociedad, mundo, social, amor, moral, madre, espíritu, noble, pueblos, dominicana, alma, sexo, obra",0.0,0.8709
Fémina,3,Poesía y literatura,"versos, alma, corazón, ensueño, lírica, rima, tristeza, musa",7,"amor, alma, vida, ojos, corazón, dulce, luz, sol, cielo, dios, flores, triste, noche, mar, labios, luna, frente, dolor, tí, flor",0.1581,0.9396,7,"amor, vida, corazón, alma, noche, flores, alegría, madre, luz, jóven, mujer, lágrimas, dios, dolor, dulce, voz, sueño, sol, luna, hermosa",0.1581,0.942
Filipinas,4,Perfeccionamiento del hogar,"hogar, madre, educación, cultura, moral, niños, disciplina, virtudes",0,"mujer, hombre, casa, educación, vida, hogar, página, mundo, manos, madre, hijos, hombres, sociedad, familia, madres, niño, influencia, belleza, niños, amor",0.3162,0.8745,5,"mujer, hombre, vida, hogar, patria, mujeres, hombres, sociedad, mundo, social, amor, moral, madre, espíritu, noble, pueblos, dominicana, alma, sexo, obra",0.2372,0.8787
Fémina,5,Religión y fe,"coronación, virgen, altagracia, fe, catolicismo, oración, gracia, dios",2,"pueblo, vida, patria, gloria, libertad, madre, historia, frente, camino, dios, memoria, dolor, nombre, corona, sangre, año, mundo, campo, fé, manos",0.0791,0.8726,2,"pueblo, vida, patria, gloria, libertad, madre, historia, frente, camino, dios, memoria, dolor, nombre, corona, sangre, año, mundo, campo, fé, manos",0.0791,0.8726
Fémina,6,Crónica social y obituarios,"fallecimiento, boda, esponsales, entierro, funerales, aniversario, banquete, saludos",0,"noche, casa, oro, pauna, velas, tannas, manos, puerta, guerra, paso, cara, cabeza, viejo, hombre, voz, campo, orilla, medalla, cosa, mano",0.0,0.8263,2,"pueblo, vida, patria, gloria, libertad, madre, historia, frente, camino, dios, memoria, dolor, nombre, corona, sangre, año, mundo, campo, fé, manos",0.0,0.8474
Heraldo de la Mujer,7,Salud y beneficencia,"tuberculosis, caridad, pobres, enfermos, hospital, desvalidos, sanidad, médico",9,"años, niños, escuelas, pobres, movimiento, música, ninos, mente, materia, aguas, siglo, libertad, sociedad, viene, paso, nación, conernico, pen, canta, orgullo",0.0791,0.737,3,"harina, nestle, agua, lacteada, página, filipinas, vida, abanicos, niños, conocimientos, higiene, alimento, práctica, artes, ilustrado, oriente, leche, caseras, medicinas, bella",0.0,0.7914
