revista,lda_topic_number,lda_topic_name,lda_keywords,lex_matched_voyant_idx,lex_matched_voyant_keywords,lex_match_lex_score,lex_match_emb_score,emb_matched_voyant_idx,emb_matched_voyant_keywords,emb_match_lex_score,emb_match_emb_score
Heraldo de la Mujer,1,Feminismo y Sufragio,"mujer, derechos, sufragio, voto, leyes, igualdad, progreso, ciudadana",0,"mujer, mujeres, vida, mundo, hombres, hombre, pueblo, progreso, amor, tierra, derecho, pueblos, alma, patria, dios, madre, humanidad, moderna, nombre, años",0.1581,0.8953,0,"mujer, mujeres, vida, mundo, hombres, hombre, pueblo, progreso, amor, tierra, derecho, pueblos, alma, patria, dios, madre, humanidad, moderna, nombre, años",0.1581,0.8953
Fémina,2,Poesía y Literatura,"poesía, versos, rimas, alma, corazón, musas, ideal, estrofas",7,"amor, alma, vida, ojos, corazón, dulce, luz, sol, cielo, dios, flores, triste, noche, mar, labios, luna, frente, dolor, tí, flor",0.1581,0.9155,1,"vida, naturaleza, amor, hombre, alma, cielo, tierra, mos, dores, estudio, hermosa, poeta, poetas, suelo, obras, luz, mente, dolor, poesía, pre",0.1581,0.9489
Fémina,3,Política y Estatus de PR,"independencia, estatus, gobierno, patria, nación, libertad, congreso, soberanía",2,"pueblo, vida, patria, gloria, libertad, madre, historia, frente, camino, dios, memoria, dolor, nombre, corona, sangre, año, mundo, campo, fé, manos",0.1581,0.786,4,"mujeres, república, liga, américa, internacional, colón, hispano, luz, mundo, país, york, servicio, españa, puerto, new, carga, años, rico, punto, literarios",0.0,0.8245
Filipinas,4,Educación e Instrucción,"educación, escuela, hogar, hijos, madres, instrucción, enseñanza, cultura",0,"mujer, hombre, casa, educación, vida, hogar, página, mundo, manos, madre, hijos, hombres, sociedad, familia, madres, niño, influencia, belleza, niños, amor",0.3162,0.8949,0,"mujer, hombre, casa, educación, vida, hogar, página, mundo, manos, madre, hijos, hombres, sociedad, familia, madres, niño, influencia, belleza, niños, amor",0.3162,0.8949
Fémina,5,Ciencia y Astronomía,"astronomía, planetas, ciencia, telescopio, estrellas, universo, fenómenos, cielo",7,"amor, alma, vida, ojos, corazón, dulce, luz, sol, cielo, dios, flores, triste, noche, mar, labios, luna, frente, dolor, tí, flor",0.0791,0.7012,7,"amor, alma, vida, ojos, corazón, dulce, luz, sol, cielo, dios, flores, triste, noche, mar, labios, luna, frente, dolor, tí, flor",0.0791,0.7012
Heraldo de la Mujer,6,Acción Social y Beneficencia,"beneficencia, niños, pobres, asilos, ayuda, mendigos, sociedad, huérfanos",9,"años, niños, escuelas, pobres, movimiento, música, ninos, mente, materia, aguas, siglo, libertad, sociedad, viene, paso, nación, conernico, pen, canta, orgullo",0.2372,0.8825,6,"fortuna, bizcochos, mañana, dignos, hijos, manila, sanos, pátria, alimentadlos, apoyos, robustos, criar, querida, niños, comer, esperanza, expende, renombrados, fabricados, sta",0.0791,0.8943
Heraldo de la Mujer,7,Moda y Estilo de Vida,"modas, trajes, telas, seda, elegancia, sombreros, estilos, bazar",7,"casa, bellas, san, preciosos, correo, trajes, crepé, corte, surtido, rico, flores, aéreo, china, esplendido, francisco, pensil, punto, royal, polvo, lusto",0.0791,0.8568,8,"nombre, retrato, detalle, casa, padre, material, pueblo, centavos, vender, cuarta, genio, cremas, fama, construcción, muchacha, cantidad, precio, artículos, plomería, sport",0.0,0.8592
Filipinas,8,Comercio y Publicidad,"anuncios, bodega, café, farmacia, harina, venta, suscripción, precios",3,"harina, nestle, agua, lacteada, página, filipinas, vida, abanicos, niños, conocimientos, higiene, alimento, práctica, artes, ilustrado, oriente, leche, caseras, medicinas, bella",0.0791,0.8293,8,"mujer, madrid, heraldo, ayuntamiento, periódico, san, juan, página, casa, personas, mundo, duprey, tomo, trimestre, premiada, enviado, número, at, prado, pago",0.0,0.8558
Fémina,1,Patriotismo y Soberanía,"patria, libertad, soberanía, restauración, bandera, héroes, república, independencia",2,"pueblo, vida, patria, gloria, libertad, madre, historia, frente, camino, dios, memoria, dolor, nombre, corona, sangre, año, mundo, campo, fé, manos",0.1581,0.8132,2,"pueblo, vida, patria, gloria, libertad, madre, historia, frente, camino, dios, memoria, dolor, nombre, corona, sangre, año, mundo, campo, fé, manos",0.1581,0.8132
Fémina,2,Feminismo y Identidad,"feminismo, mujer, derechos, emancipación, entidad, igualdad, dignificación, sexo",5,"mujer, hombre, vida, hogar, patria, mujeres, hombres, sociedad, mundo, social, amor, moral, madre, espíritu, noble, pueblos, dominicana, alma, sexo, obra",0.1581,0.8904,5,"mujer, hombre, vida, hogar, patria, mujeres, hombres, sociedad, mundo, social, amor, moral, madre, espíritu, noble, pueblos, dominicana, alma, sexo, obra",0.1581,0.8904
Filipinas,3,Educación y Formación,"hogar, madres, educación, hijos, familia, formación, moral, enseñanza",0,"mujer, hombre, casa, educación, vida, hogar, página, mundo, manos, madre, hijos, hombres, sociedad, familia, madres, niño, influencia, belleza, niños, amor",0.3953,0.9167,0,"mujer, hombre, casa, educación, vida, hogar, página, mundo, manos, madre, hijos, hombres, sociedad, familia, madres, niño, influencia, belleza, niños, amor",0.3953,0.9167
