revista,lda_topic_number,lda_topic_name,lda_keywords,lex_matched_voyant_idx,lex_matched_voyant_keywords,lex_match_lex_score,lex_match_emb_score,emb_matched_voyant_idx,emb_matched_voyant_keywords,emb_match_lex_score,emb_match_emb_score
Heraldo de la Mujer,1,Feminismo y Sufragismo,"feminista, sufragio, voto, derecho, mujer, igualdad, ciudadana, liga",0,"mujer, mujeres, vida, mundo, hombres, hombre, pueblo, progreso, amor, tierra, derecho, pueblos, alma, patria, dios, madre, humanidad, moderna, nombre, años",0.1581,0.9076,5,"mujer, hombre, vida, hogar, patria, mujeres, hombres, sociedad, mundo, social, amor, moral, madre, espíritu, noble, pueblos, dominicana, alma, sexo, obra",0.0791,0.9077
Fémina,2,Estatus Político y Nacionalismo,"independencia, patria, libertad, soberanía, gobierno, congreso, pueblo, bill jones",2,"pueblo, vida, patria, gloria, libertad, madre, historia, frente, camino, dios, memoria, dolor, nombre, corona, sangre, año, mundo, campo, fé, manos",0.2372,0.8002,4,"mujeres, república, liga, américa, internacional, colón, hispano, luz, mundo, país, york, servicio, españa, puerto, new, carga, años, rico, punto, literarios",0.0,0.8283
Fémina,3,Literatura y Poesía,"poesía, verso, teatro, novela, música, estrofa, belleza, chopin",9,"petronila, gomez, mujer, maestra, angelica, literatura, normal, ciencias, nación, artes, revista, consagrada, hemeroteca, femina, casa, niklos, paula, música, parque, silencio",0.0791,0.8828,1,"vida, naturaleza, amor, hombre, alma, cielo, tierra, mos, dores, estudio, hermosa, poeta, poetas, suelo, obras, luz, mente, dolor, poesía, pre",0.0791,0.8981
Heraldo de la Mujer,4,Educación y Cultura,"escuela, maestro, enseñanza, estudio, universidad, pedagogía, cultura, discípulo",1,"vida, naturaleza, amor, hombre, alma, cielo, tierra, mos, dores, estudio, hermosa, poeta, poetas, suelo, obras, luz, mente, dolor, poesía, pre",0.0791,0.7902,9,"años, niños, escuelas, pobres, movimiento, música, ninos, mente, materia, aguas, siglo, libertad, sociedad, viene, paso, nación, conernico, pen, canta, orgullo",0.0,0.8372
Fémina,5,Vida Social y Obituarios,"boda, fallecimiento, familia, saludo, viaje, pésame, social, regreso",5,"mujer, hombre, vida, hogar, patria, mujeres, hombres, sociedad, mundo, social, amor, moral, madre, espíritu, noble, pueblos, dominicana, alma, sexo, obra",0.0791,0.9327,0,"mujer, mujeres, vida, mundo, hombres, hombre, pueblo, progreso, amor, tierra, derecho, pueblos, alma, patria, dios, madre, humanidad, moderna, nombre, años",0.0,0.9424
Fémina,6,Salud y Sanidad,"tuberculosis, enfermedad, salud, sanidad, higiene, aire, sol, médico",7,"amor, alma, vida, ojos, corazón, dulce, luz, sol, cielo, dios, flores, triste, noche, mar, labios, luna, frente, dolor, tí, flor",0.0791,0.7536,3,"harina, nestle, agua, lacteada, página, filipinas, vida, abanicos, niños, conocimientos, higiene, alimento, práctica, artes, ilustrado, oriente, leche, caseras, medicinas, bella",0.0791,0.8281
Heraldo de la Mujer,7,Modas y Comercio,"trajes, seda, encajes, falda, blusa, bordado, calzado, tienda",7,"casa, bellas, san, preciosos, correo, trajes, crepé, corte, surtido, rico, flores, aéreo, china, esplendido, francisco, pensil, punto, royal, polvo, lusto",0.0791,0.91,0,"noche, casa, oro, pauna, velas, tannas, manos, puerta, guerra, paso, cara, cabeza, viejo, hombre, voz, campo, orilla, medalla, cosa, mano",0.0,0.9239
Filipinas,8,Ciencias y Astronomía,"astronomía, estrellas, telescopio, planeta, ciencia, atmósfera, tierra, observación",1,"fuerza, mujer, vida, palabra, camino, ciencia, mujeres, inteligencia, página, razón, quiero, naturaleza, sér, ideal, antigua, costumbres, entusiasmo, sentimiento, graciosa, razon",0.0791,0.7256,7,"amor, alma, vida, ojos, corazón, dulce, luz, sol, cielo, dios, flores, triste, noche, mar, labios, luna, frente, dolor, tí, flor",0.0,0.7336
Fémina,1,Educación y Formación Moral,"educación, enseñanza, virtud, instrucción, niña, madre, carácter, moral",5,"mujer, hombre, vida, hogar, patria, mujeres, hombres, sociedad, mundo, social, amor, moral, madre, espíritu, noble, pueblos, dominicana, alma, sexo, obra",0.1581,0.8574,0,"mujer, hombre, casa, educación, vida, hogar, página, mundo, manos, madre, hijos, hombres, sociedad, familia, madres, niño, influencia, belleza, niños, amor",0.1581,0.8593
Filipinas,2,Higiene y Cuidado Infantil,"salud, medicina, niño, higiene, microbio, dentición, enfermedad, nestle",3,"harina, nestle, agua, lacteada, página, filipinas, vida, abanicos, niños, conocimientos, higiene, alimento, práctica, artes, ilustrado, oriente, leche, caseras, medicinas, bella",0.1581,0.8123,3,"harina, nestle, agua, lacteada, página, filipinas, vida, abanicos, niños, conocimientos, higiene, alimento, práctica, artes, ilustrado, oriente, leche, caseras, medicinas, bella",0.1581,0.8123
Filipinas,3,Economía Doméstica y Labores,"cocina, receta, costura, hogar, limpieza, alimento, bordado, casa",0,"mujer, hombre, casa, educación, vida, hogar, página, mundo, manos, madre, hijos, hombres, sociedad, familia, madres, niño, influencia, belleza, niños, amor",0.1581,0.8244,3,"harina, nestle, agua, lacteada, página, filipinas, vida, abanicos, niños, conocimientos, higiene, alimento, práctica, artes, ilustrado, oriente, leche, caseras, medicinas, bella",0.0791,0.8628
Fémina,4,Literatura y Narrativa,"historia, cuento, leyenda, página, alma, corazón, dolor, verso",7,"amor, alma, vida, ojos, corazón, dulce, luz, sol, cielo, dios, flores, triste, noche, mar, labios, luna, frente, dolor, tí, flor",0.2372,0.928,1,"vida, naturaleza, amor, hombre, alma, cielo, tierra, mos, dores, estudio, hermosa, poeta, poetas, suelo, obras, luz, mente, dolor, poesía, pre",0.1581,0.9381
Fémina,5,Crónica Local y Noticias,"crónica, manila, noticias, gobernador, correo, caballería, pueblo, semana",2,"pueblo, vida, patria, gloria, libertad, madre, historia, frente, camino, dios, memoria, dolor, nombre, corona, sangre, año, mundo, campo, fé, manos",0.0791,0.8943,8,"mujer, madrid, heraldo, ayuntamiento, periódico, san, juan, página, casa, personas, mundo, duprey, tomo, trimestre, premiada, enviado, número, at, prado, pago",0.0,0.9295
Fémina,6,Feminismo y Progreso Social,"espíritu, moderno, libertad, hombre, progreso, personalidad, compañera, civilización",5,"mujer, hombre, vida, hogar, patria, mujeres, hombres, sociedad, mundo, social, amor, moral, madre, espíritu, noble, pueblos, dominicana, alma, sexo, obra",0.1581,0.9403,0,"mujer, mujeres, vida, mundo, hombres, hombre, pueblo, progreso, amor, tierra, derecho, pueblos, alma, patria, dios, madre, humanidad, moderna, nombre, años",0.1581,0.943
Fémina,7,Biografías de Mujeres,"hermosa, retrato, biografía, reina, dama, esposa, japonesa, filipina",8,"nombre, retrato, detalle, casa, padre, material, pueblo, centavos, vender, cuarta, genio, cremas, fama, construcción, muchacha, cantidad, precio, artículos, plomería, sport",0.0791,0.8866,3,"fémina, revista, macorís, san, pedro, página, macoris, edición, número, femina, frias, mes, año, montalvo, páginas, libro, srta, mujer, labor, charada",0.0,0.9191
Filipinas,8,Publicidad Comercial,"bizcochos, bazar, máquina, platería, calzado, camas, botones, imprenta",4,"clase, filipinas, cruz, semanario, sacrificio, ciudad, santa, número, dulces, correspondencia, alegres, fuertes, francisco, bizcochos, vende, jóvenes, conservar, fuego, pies, juventud",0.0791,0.8415,8,"nombre, retrato, detalle, casa, padre, material, pueblo, centavos, vender, cuarta, genio, cremas, fama, construcción, muchacha, cantidad, precio, artículos, plomería, sport",0.0,0.8784
Fémina,1,Patriotismo y Soberanía Nacional,"patria, libertad, independencia, restauración, soberanía, heróica, bandera, derecho",2,"pueblo, vida, patria, gloria, libertad, madre, historia, frente, camino, dios, memoria, dolor, nombre, corona, sangre, año, mundo, campo, fé, manos",0.1581,0.856,2,"pueblo, vida, patria, gloria, libertad, madre, historia, frente, camino, dios, memoria, dolor, nombre, corona, sangre, año, mundo, campo, fé, manos",0.1581,0.856
Fémina,2,Producción Literaria y Poesía,"verso, rima, estrofa, musa, prosa, libro, inspiración, bardo",3,"fémina, revista, macorís, san, pedro, página, macoris, edición, número, femina, frias, mes, año, montalvo, páginas, libro, srta, mujer, labor, charada",0.0791,0.9125,1,"vida, naturaleza, amor, hombre, alma, cielo, tierra, mos, dores, estudio, hermosa, poeta, poetas, suelo, obras, luz, mente, dolor, poesía, pre",0.0,0.9295
Filipinas,3,Feminismo e Idealismo Femenino,"feminismo, mujer, liga, acción, igualdad, progreso, ideal, emancipación",1,"fuerza, mujer, vida, palabra, camino, ciencia, mujeres, inteligencia, página, razón, quiero, naturaleza, sér, ideal, antigua, costumbres, entusiasmo, sentimiento, graciosa, razon",0.1581,0.8929,0,"mujer, mujeres, vida, mundo, hombres, hombre, pueblo, progreso, amor, tierra, derecho, pueblos, alma, patria, dios, madre, humanidad, moderna, nombre, años",0.1581,0.8989
Fémina,4,Religión y Devoción,"virgen, altar, fe, coronación, místico, dios, altagracia, oración",2,"pueblo, vida, patria, gloria, libertad, madre, historia, frente, camino, dios, memoria, dolor, nombre, corona, sangre, año, mundo, campo, fé, manos",0.0791,0.8635,2,"pueblo, vida, patria, gloria, libertad, madre, historia, frente, camino, dios, memoria, dolor, nombre, corona, sangre, año, mundo, campo, fé, manos",0.0791,0.8635
Filipinas,5,Crónica Social y Eventos,"boda, onomástico, saludo, bienvenida, nacimiento, familia, banquete, hogar",0,"mujer, hombre, casa, educación, vida, hogar, página, mundo, manos, madre, hijos, hombres, sociedad, familia, madres, niño, influencia, belleza, niños, amor",0.1581,0.93,0,"mujer, hombre, casa, educación, vida, hogar, página, mundo, manos, madre, hijos, hombres, sociedad, familia, madres, niño, influencia, belleza, niños, amor",0.1581,0.93
Fémina,6,Pedagogía y Magisterio,"maestra, normal, estudio, escuela, civismo, inteligencia, enseñanza, cultura",9,"petronila, gomez, mujer, maestra, angelica, literatura, normal, ciencias, nación, artes, revista, consagrada, hemeroteca, femina, casa, niklos, paula, música, parque, silencio",0.1581,0.8884,9,"años, niños, escuelas, pobres, movimiento, música, ninos, mente, materia, aguas, siglo, libertad, sociedad, viene, paso, nación, conernico, pen, canta, orgullo",0.0,0.8973
Fémina,7,Biografías y Necrologías,"prócer, muerte, talento, gloria, tumba, recuerdo, busto, historia",2,"pueblo, vida, patria, gloria, libertad, madre, historia, frente, camino, dios, memoria, dolor, nombre, corona, sangre, año, mundo, campo, fé, manos",0.1581,0.9497,2,"pueblo, vida, patria, gloria, libertad, madre, historia, frente, camino, dios, memoria, dolor, nombre, corona, sangre, año, mundo, campo, fé, manos",0.1581,0.9497
Fémina,8,Amenidades y Charadas,"charada, solución, logogrifo, enigma, premio, lectura, verso, suerte",1,"muerte, muertos, templo, hombres, razón, espíritu, americanos, escudo, ricos, árbol, forma, persona, suerte, europeos, armas, patentizados, fuerte, oculta, fuerza, pueblos",0.0791,0.9118,6,"fortuna, bizcochos, mañana, dignos, hijos, manila, sanos, pátria, alimentadlos, apoyos, robustos, criar, querida, niños, comer, esperanza, expende, renombrados, fabricados, sta",0.0,0.9331
