revista,lda_topic_number,lda_topic_name,lda_keywords,lex_matched_voyant_idx,lex_matched_voyant_keywords,lex_match_lex_score,lex_match_emb_score,emb_matched_voyant_idx,emb_matched_voyant_keywords,emb_match_lex_score,emb_match_emb_score
Heraldo de la Mujer,1,Derechos Políticos y Sufragio,"voto, derechos, feminista, sufragio, ley, legislatura, ciudadana, igualdad",2,"rico, puerto, mujer, mujeres, duprey, sra, san, ana, señora, señor, piedras, americana, roque, don, dr, puertorriqueña, amigo, derechos, hostos, srta",0.0791,0.8071,5,"mujer, hombre, vida, hogar, patria, mujeres, hombres, sociedad, mundo, social, amor, moral, madre, espíritu, noble, pueblos, dominicana, alma, sexo, obra",0.0,0.856
Fémina,2,Status Político de Puerto Rico,"independencia, estatus, nación, gobierno, patria, unión, pueblo, política",2,"pueblo, vida, patria, gloria, libertad, madre, historia, frente, camino, dios, memoria, dolor, nombre, corona, sangre, año, mundo, campo, fé, manos",0.1581,0.8419,4,"mujeres, república, liga, américa, internacional, colón, hispano, luz, mundo, país, york, servicio, españa, puerto, new, carga, años, rico, punto, literarios",0.0,0.8828
Filipinas,3,Educación e Instrucción,"instrucción, escuela, maestros, intelectual, cultura, estudio, conocimientos, ciencia",1,"fuerza, mujer, vida, palabra, camino, ciencia, mujeres, inteligencia, página, razón, quiero, naturaleza, sér, ideal, antigua, costumbres, entusiasmo, sentimiento, graciosa, razon",0.0791,0.8562,9,"años, niños, escuelas, pobres, movimiento, música, ninos, mente, materia, aguas, siglo, libertad, sociedad, viene, paso, nación, conernico, pen, canta, orgullo",0.0,0.8582
Heraldo de la Mujer,4,Literatura y Crítica,"poesía, versos, literatura, novela, prosista, autor, alma, ritmo",1,"vida, naturaleza, amor, hombre, alma, cielo, tierra, mos, dores, estudio, hermosa, poeta, poetas, suelo, obras, luz, mente, dolor, poesía, pre",0.1581,0.9326,1,"vida, naturaleza, amor, hombre, alma, cielo, tierra, mos, dores, estudio, hermosa, poeta, poetas, suelo, obras, luz, mente, dolor, poesía, pre",0.1581,0.9326
Filipinas,5,Ciencia y Astronomía,"astronomía, planetas, estrellas, temblores, ciencia, tierra, atracción, universo",1,"fuerza, mujer, vida, palabra, camino, ciencia, mujeres, inteligencia, página, razón, quiero, naturaleza, sér, ideal, antigua, costumbres, entusiasmo, sentimiento, graciosa, razon",0.0791,0.7872,1,"fuerza, mujer, vida, palabra, camino, ciencia, mujeres, inteligencia, página, razón, quiero, naturaleza, sér, ideal, antigua, costumbres, entusiasmo, sentimiento, graciosa, razon",0.0791,0.7872
Heraldo de la Mujer,6,Acción Social y Caridad,"beneficencia, niños, pobres, sociedad, huerfanos, caridad, asilo, protección",9,"años, niños, escuelas, pobres, movimiento, música, ninos, mente, materia, aguas, siglo, libertad, sociedad, viene, paso, nación, conernico, pen, canta, orgullo",0.2372,0.8729,9,"años, niños, escuelas, pobres, movimiento, música, ninos, mente, materia, aguas, siglo, libertad, sociedad, viene, paso, nación, conernico, pen, canta, orgullo",0.2372,0.8729
Fémina,7,Modas y Hogar,"modas, trajes, telas, hogar, cocina, receta, comercio, anuncios",5,"mujer, hombre, vida, hogar, patria, mujeres, hombres, sociedad, mundo, social, amor, moral, madre, espíritu, noble, pueblos, dominicana, alma, sexo, obra",0.0791,0.8462,8,"nombre, retrato, detalle, casa, padre, material, pueblo, centavos, vender, cuarta, genio, cremas, fama, construcción, muchacha, cantidad, precio, artículos, plomería, sport",0.0,0.9074
Fémina,8,Crónica Social,"bodas, fallecimiento, regreso, social, visita, felicitación, familia, huesped",5,"mujer, hombre, vida, hogar, patria, mujeres, hombres, sociedad, mundo, social, amor, moral, madre, espíritu, noble, pueblos, dominicana, alma, sexo, obra",0.0791,0.9035,0,"mujer, hombre, casa, educación, vida, hogar, página, mundo, manos, madre, hijos, hombres, sociedad, familia, madres, niño, influencia, belleza, niños, amor",0.0791,0.918
Filipinas,1,Educación y Moralidad,"educación, enseñanza, niños, escuela, maestra, instrucción, estudio, moral",0,"mujer, hombre, casa, educación, vida, hogar, página, mundo, manos, madre, hijos, hombres, sociedad, familia, madres, niño, influencia, belleza, niños, amor",0.1581,0.8439,0,"mujer, hombre, casa, educación, vida, hogar, página, mundo, manos, madre, hijos, hombres, sociedad, familia, madres, niño, influencia, belleza, niños, amor",0.1581,0.8439
Filipinas,2,Economía Doméstica,"hogar, familia, casa, cocina, limpieza, habilidades, economía, hábito",0,"mujer, hombre, casa, educación, vida, hogar, página, mundo, manos, madre, hijos, hombres, sociedad, familia, madres, niño, influencia, belleza, niños, amor",0.2372,0.8668,0,"mujer, hombre, casa, educación, vida, hogar, página, mundo, manos, madre, hijos, hombres, sociedad, familia, madres, niño, influencia, belleza, niños, amor",0.2372,0.8668
