revista,número-tópico,nombre-tópico,palabras-clave,porcentaje-presencia
Heraldo de la Mujer,1,Feminismo y Sufragio,"mujer, derechos, sufragio, voto, leyes, igualdad, progreso, ciudadana",25%
Heraldo de la Mujer,2,Poesía y Literatura,"poesía, versos, rimas, alma, corazón, musas, ideal, estrofas",20%
Heraldo de la Mujer,3,Política y Estatus de PR,"independencia, estatus, gobierno, patria, nación, libertad, congreso, soberanía",15%
Heraldo de la Mujer,4,Educación e Instrucción,"educación, escuela, hogar, hijos, madres, instrucción, enseñanza, cultura",12%
Heraldo de la Mujer,5,Ciencia y Astronomía,"astronomía, planetas, ciencia, telescopio, estrellas, universo, fenómenos, cielo",10%
Heraldo de la Mujer,6,Acción Social y Beneficencia,"beneficencia, niños, pobres, asilos, ayuda, mendigos, sociedad, huérfanos",8%
Heraldo de la Mujer,7,Moda y Estilo de Vida,"modas, trajes, telas, seda, elegancia, sombreros, estilos, bazar",5%
Heraldo de la Mujer,8,Comercio y Publicidad,"anuncios, bodega, café, farmacia, harina, venta, suscripción, precios",5%
Fémina,1,Patriotismo y Soberanía,"patria, libertad, soberanía, restauración, bandera, héroes, República, independencia",30%
Fémina,2,Feminismo y Identidad,"feminismo, mujer, derechos, emancipación, entidad, igualdad, dignificación, sexo",20%
Fémina,3,Educación y Formación,"hogar, madres, educación, hijos, familia, formación, moral, enseñanza",15%
Fémina,4,Poesía y Sentimiento,"versos, rimas, amor, alma, ensueño, corazón, suspiros, poesía",10%
Fémina,5,Vida Social y Eventos,"social, bienvenida, boda, cumpleaños, salón, fiesta, elegante, distinguidos",10%
Fémina,6,Religión y Devoción,"religión, Altagracia, coronación, fe, Dios, iglesia, rezos, santo",5%
Fémina,7,Literatura y Producción Intelectual,"literatura, letras, pluma, prosa, páginas, escritor, libros, cultura",5%
Fémina,8,Salud e Higiene,"higiene, medicina, salud, botica, recetas, limpieza, enfermos, médicos",5%
Filipinas,1,Educación e Instrucción,"educación, enseñanza, escuela, instrucción, niñas, maestros, aprendizaje, saber",25%
Filipinas,2,Rol de la Mujer y Familia,"mujer, hogar, familia, hijos, influencia, virtudes, madre, compañera",20%
Filipinas,3,Economía Doméstica y Labores,"cocina, recetas, doméstico, bordados, costura, labores, alimentos, limpieza",15%
Filipinas,4,Higiene y Medicina Casera,"higiene, medicina, salud, dientes, enfermedades, cuidados, cuerpo, aseo",10%
Filipinas,5,Literatura y Narrativa,"leyenda, cuento, historia, literatura, prosa, lectura, personajes, narración",10%
Filipinas,6,Feminismo y Espíritu Moderno,"feminismo, progreso, moderno, derechos, emancipación, dignidad, civilización, evolución",10%
Filipinas,7,Filantropía y Beneficencia,"caridad, hospital, beneficencia, pobres, sociedad, donativo, generosidad, ayuda",5%
Filipinas,8,Geografía y Naturaleza,"Filipinas, volcanes, Manila, provincias, paisaje, naturaleza, nativo, archipiélago",5%
