revista,número-tópico,nombre-tópico,palabras-clave,porcentaje-presencia
Heraldo de la Mujer,1,Feminismo y Sufragismo,"feminista, sufragio, voto, derecho, mujer, igualdad, ciudadana, Liga",25%
Heraldo de la Mujer,2,Estatus Político y Nacionalismo,"independencia, patria, libertad, soberanía, gobierno, congreso, pueblo, Bill Jones",20%
Heraldo de la Mujer,3,Literatura y Poesía,"poesía, verso, teatro, novela, música, estrofa, belleza, Chopin",15%
Heraldo de la Mujer,4,Educación y Cultura,"escuela, maestro, enseñanza, estudio, universidad, pedagogía, cultura, discípulo",10%
Heraldo de la Mujer,5,Vida Social y Obituarios,"boda, fallecimiento, familia, saludo, viaje, pésame, social, regreso",10%
Heraldo de la Mujer,6,Salud y Sanidad,"tuberculosis, enfermedad, salud, sanidad, higiene, aire, sol, médico",8%
Heraldo de la Mujer,7,Modas y Comercio,"trajes, seda, encajes, falda, blusa, bordado, calzado, tienda",7%
Heraldo de la Mujer,8,Ciencias y Astronomía,"astronomía, estrellas, telescopio, planeta, ciencia, atmósfera, tierra, observación",5%
Filipinas,1,Educación y Formación Moral,"educación, enseñanza, virtud, instrucción, niña, madre, carácter, moral",25%
Filipinas,2,Higiene y Cuidado Infantil,"salud, medicina, niño, higiene, microbio, dentición, enfermedad, Nestle",20%
Filipinas,3,Economía Doméstica y Labores,"cocina, receta, costura, hogar, limpieza, alimento, bordado, casa",15%
Filipinas,4,Literatura y Narrativa,"historia, cuento, leyenda, página, alma, corazón, dolor, verso",10%
Filipinas,5,Crónica Local y Noticias,"crónica, Manila, noticias, gobernador, correo, caballería, pueblo, semana",10%
Filipinas,6,Feminismo y Progreso Social,"espíritu, moderno, libertad, hombre, progreso, personalidad, compañera, civilización",8%
Filipinas,7,Biografías de Mujeres,"hermosa, retrato, biografía, reina, dama, esposa, japonesa, filipina",7%
Filipinas,8,Publicidad Comercial,"bizcochos, bazar, máquina, platería, calzado, camas, botones, imprenta",5%
Fémina,1,Patriotismo y Soberanía Nacional,"patria, libertad, independencia, restauración, soberanía, heróica, bandera, derecho",25%
Fémina,2,Producción Literaria y Poesía,"verso, rima, estrofa, musa, prosa, libro, inspiración, bardo",20%
Fémina,3,Feminismo e Idealismo Femenino,"feminismo, mujer, liga, acción, igualdad, progreso, ideal, emancipación",15%
Fémina,4,Religión y Devoción,"virgen, altar, fe, coronación, místico, Dios, Altagracia, oración",15%
Fémina,5,Crónica Social y Eventos,"boda, onomástico, saludo, bienvenida, nacimiento, familia, banquete, hogar",10%
Fémina,6,Pedagogía y Magisterio,"maestra, normal, estudio, escuela, civismo, inteligencia, enseñanza, cultura",5%
Fémina,7,Biografías y Necrologías,"prócer, muerte, talento, gloria, tumba, recuerdo, busto, historia",5%
Fémina,8,Amenidades y Charadas,"charada, solución, logogrifo, enigma, premio, lectura, verso, suerte",5%
