revista,número-tópico,nombre-tópico,palabras-clave,porcentaje-presencia
Filipinas,1,Educación y enseñanza de la mujer,"educación, enseñanza, niñas, instrucción, razón, moralidad, madre, conocimientos",25%
Filipinas,2,Maternidad e higiene infantil,"niños, hijos, robustos, salud, alimento, Harina, Lacteada, Nestle",20%
Filipinas,3,El hogar y la familia,"casa, hogar, mujer, sabia, familia, conducta, costumbres, felicidad",15%
Filipinas,4,Feminismo e intelectualidad moderna,"espíritu, moderno, intelectual, progresivos, ciencia, arte, masculinización, civilizada",12%
Filipinas,5,Narrativa y literatura,"tumba, melancolía, amor, vida, sepulcro, historia, poética, leyendas",10%
Filipinas,6,Dignidad del trabajo,"trabajo, dignifica, pobre, miseria, económica, jornal, honrada, perseverancia",8%
Filipinas,7,Noticias y crónica social,"Manila, miércoles, septiembre, administración, provincias, fallecimiento, nombramiento, suscriptores",5%
Filipinas,8,Conocimientos útiles y hogar,"limpieza, manchas, cocina, hierro, seda, bordado, recetas, higiene",5%
Fémina,1,Patriotismo y soberanía nacional,"patria, soberanía, libertad, imperialismo, nacional, independencia, derecho, cívica",25%
Fémina,2,Feminismo y derechos de la mujer,"feminismo, voto, sufragio, igualdad, emancipación, consciente, ciudadana, capacidad",20%
Fémina,3,Poesía y literatura,"versos, alma, corazón, ensueño, lírica, rima, tristeza, musa",18%
Fémina,4,Perfeccionamiento del hogar,"hogar, madre, educación, cultura, moral, niños, disciplina, virtudes",12%
Fémina,5,Religión y fe,"coronación, virgen, Altagracia, fe, catolicismo, oración, gracia, Dios",10%
Fémina,6,Crónica social y obituarios,"fallecimiento, boda, esponsales, entierro, funerales, aniversario, banquete, saludos",7%
Fémina,7,Salud y beneficencia,"tuberculosis, caridad, pobres, enfermos, hospital, desvalidos, sanidad, médico",5%
Fémina,8,Arte y cultura general,"pintura, música, piano, cinematógrafo, historia, clásica, artista, escultura",3%
Heraldo de la Mujer,1,Sufragio y derechos políticos,"sufragio, voto, legislatura, ciudadanas, enmienda, derechos, leyes, constitucional",30%
Heraldo de la Mujer,2,Soberanía y estatus político,"independencia, patria, libertad, soberanía, metrópoli, bandera, americana, gobierno",20%
Heraldo de la Mujer,3,Educación e instrucción,"escuelas, universidad, maestros, analfabetismo, instrucción, conocimiento, pedagogo, estudiantes",15%
Heraldo de la Mujer,4,Feminismo internacional,"internacional, alianza, latina, españolas, sufragistas, organización, mundial, congreso",10%
Heraldo de la Mujer,5,Literatura y narrativa,"novela, Chopin, polaca, amor, leyenda, estrofas, prosa, autor",8%
Heraldo de la Mujer,6,Higiene y ciencia,"tuberculosis, astronomía, ciencia, planeta, higiene, atmósfera, microbios, médicos",7%
Heraldo de la Mujer,7,Modas y economía doméstica,"modas, trajes, seda, georgette, patrones, elegancia, blusas, sombreros",5%
Heraldo de la Mujer,8,Noticias y vida social,"suscriptores, anuncios, fallecido, regreso, social, cronista, felicitación, hospital",5%
