revista,número-tópico,nombre-tópico,palabras-clave,porcentaje-presencia
Heraldo de la Mujer,1,Feminismo y Sufragio,"derechos, sufragio, mujer, feminista, voto, emancipación, justicia, reivindicación",25%
Heraldo de la Mujer,2,Estatus Político y Patriotismo,"patria, independencia, libertad, pueblo, nación, soberanía, gobierno, puertorriqueña",20%
Heraldo de la Mujer,3,Literatura y Poesía,"poesía, versos, rimas, alma, leyenda, corazón, musa, prosa",15%
Heraldo de la Mujer,4,Educación y Cultura,"instrucción, escuela, maestro, universidad, estudios, conocimientos, cultura, inteligencia",15%
Heraldo de la Mujer,5,Hogar y Modas,"modas, trajes, telas, receta, harina, bordados, blanco, seda",10%
Heraldo de la Mujer,6,Salud y Bienestar,"niños, pobres, tuberculosis, caridad, beneficencia, salud, enfermos, protección",5%
Heraldo de la Mujer,7,Vida Social,"maridaje, social, viajeros, felicitación, boda, fiesta, regreso, distinguida",5%
Heraldo de la Mujer,8,Crónica Internacional,"guerra, mundo, naciones, prensa, tratado, alemania, europa, estados",5%
Filipinas,1,Educación y Moral,"educación, instrucción, virtud, maestra, enseñanza, moralidad, estudio, carácter",20%
Filipinas,2,Higiene y Salud,"higiene, salud, medicina, enfermedades, cuidado, limpieza, agua, cuerpo",15%
Filipinas,3,Economía Doméstica,"casa, luto, cocina, costura, labores, receta, hogar, económica",15%
Filipinas,4,Literatura y Leyendas,"leyenda, historia, cuento, literaria, prosa, página, tristeza, tradición",12%
Filipinas,5,Infancia y Crianza,"niño, madre, hijo, alimento, cuna, leche, nodrizas, sangol",10%
Filipinas,6,Feminismo y Rol Social,"espíritu, moderno, influencia, intelectual, derechos, compañera, belleza, acción",10%
Filipinas,7,Crónica Social,"boda, fiesta, noticia, semana, compañía, pueblo, manila, nacional",10%
Filipinas,8,Comercio y Avisos,"vende, precio, bazar, alhajas, maquinas, anuncio, calidad, barato",8%
Fémina,1,Literatura y Poesía,"poesía, versos, alma, ritmo, lirica, bardo, rimas, ensueño",25%
Fémina,2,Patriotismo y Soberanía,"patria, libertad, nacional, republica, soberanía, derecho, independencia, pueblo",20%
Fémina,3,Feminismo e Intelectualidad,"mujer, cultura, intelectual, civilización, educación, capacidad, emancipación, pensamiento",15%
Fémina,4,Religión y Devoción,"virgen, altagracia, fe, coronación, dios, plegaria, iglesia, santo",15%
Fémina,5,Crónica Social,"boda, enlace, hogar, felicitación, duelo, pesame, natalicio, viaje",10%
Fémina,6,Hogar y Familia,"madre, hijos, hogar, familia, educar, sacrificio, abnegación, cuna",5%
Fémina,7,Sociedad y Moral,"egoismo, sociedad, ambiente, costumbre, virtud, honestidad, caridad, bien",5%
Fémina,8,Avisos y Comercio,"farmacia, drogas, precios, anunciante, almacen, calzado, venta, agencia",5%
